JobID|State|ExitCode|Elapsed|ReqTRES|AllocTRES|NodeList
23781283_0|COMPLETED|0:0|00:00:14|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
23781283_0.batch|COMPLETED|0:0|00:00:14||cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
23781283_0.extern|COMPLETED|0:0|00:00:14||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
23781355_1|COMPLETED|0:0|00:00:18|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e11r03
23781355_1.batch|COMPLETED|0:0|00:00:18||cpu=4,gres/gpu=1,mem=15328M,node=1|e11r03
23781355_1.extern|COMPLETED|0:0|00:00:18||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e11r03
23781355_2|COMPLETED|0:0|00:00:16|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
23781355_2.batch|COMPLETED|0:0|00:00:16||cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
23781355_2.extern|COMPLETED|0:0|00:00:16||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
23781355_3|COMPLETED|0:0|00:00:52|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r03
23781355_3.batch|COMPLETED|0:0|00:00:52||cpu=4,gres/gpu=1,mem=15328M,node=1|e04r03
23781355_3.extern|COMPLETED|0:0|00:00:52||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r03
23781355_4|COMPLETED|0:0|00:00:52|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r03
23781355_4.batch|COMPLETED|0:0|00:00:52||cpu=4,gres/gpu=1,mem=15328M,node=1|e04r03
23781355_4.extern|COMPLETED|0:0|00:00:52||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r03
23781355_5|COMPLETED|0:0|00:00:22|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_5.batch|COMPLETED|0:0|00:00:22||cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_5.extern|COMPLETED|0:0|00:00:22||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_6|COMPLETED|0:0|00:00:17|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e10r03
23781355_6.batch|COMPLETED|0:0|00:00:17||cpu=4,gres/gpu=1,mem=15328M,node=1|e10r03
23781355_6.extern|COMPLETED|0:0|00:00:17||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e10r03
23781355_7|COMPLETED|0:0|00:00:11|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_7.batch|COMPLETED|0:0|00:00:11||cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_7.extern|COMPLETED|0:0|00:00:11||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_8|COMPLETED|0:0|00:00:11|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e10r03
23781355_8.batch|COMPLETED|0:0|00:00:11||cpu=4,gres/gpu=1,mem=15328M,node=1|e10r03
23781355_8.extern|COMPLETED|0:0|00:00:11||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e10r03
23781355_9|COMPLETED|0:0|00:00:20|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_9.batch|COMPLETED|0:0|00:00:20||cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_9.extern|COMPLETED|0:0|00:00:20||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_10|COMPLETED|0:0|00:00:20|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_10.batch|COMPLETED|0:0|00:00:20||cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_10.extern|COMPLETED|0:0|00:00:20||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23781355_11|COMPLETED|0:0|00:00:19|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
23781355_11.batch|COMPLETED|0:0|00:00:19||cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
23781355_11.extern|COMPLETED|0:0|00:00:19||billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r02
