groups,dimension,training_seed,dataset_seed,composed_true_to_learned_kl_mean,composed_true_to_learned_w1_mean
16,1,0,0,0.0008171741636322,0.0078801821885033
16,1,0,1,0.0016512152820836,0.0116170205304894
16,1,0,2,0.0001260665882441,0.0032269437427087
16,1,0,3,9.986801702198107e-05,0.0032971395256144
16,1,0,4,0.0005352084578247,0.0066721370135169
16,1,1,0,2.844010151597788e-05,0.0011679797502674
16,1,1,1,2.4921865625736503e-05,0.0013571003820336
16,1,1,2,0.0011575800443082,0.0099735170813744
16,1,1,3,0.0013892843987064,0.0125321491620225
16,1,1,4,0.0003146314434319,0.0051493562380796
16,1,2,0,9.210115215570896e-05,0.0021812323258257
16,1,2,1,0.0004787122477034,0.0047156649152418
16,1,2,2,0.0026230916329368,0.0144717345198363
16,1,2,3,0.000359928876575,0.005140605596515
16,1,2,4,0.0009602982617081,0.0082214004563096
16,1,3,0,0.0015223838343253,0.0107899285622394
16,1,3,1,0.0014234268762008,0.0108184430347232
16,1,3,2,3.501259091484902e-05,0.0017070094831116
16,1,3,3,2.4050613921290688e-05,0.0008813880874949
16,1,3,4,0.0003074012841618,0.0049543149150306
16,1,4,0,6.415594371346337e-05,0.0021753219060224
16,1,4,1,0.0009356138563916,0.0087801245613717
16,1,4,2,0.0007826645557331,0.0080804722714586
16,1,4,3,0.0024483605881657,0.0160396463686205
16,1,4,4,0.0005023595194851,0.0064680583749646
16,8,0,0,0.0017075322420032,0.0094422082313258
16,8,0,1,0.0006967364291436,0.0065891716434606
16,8,0,2,0.0008179824631373,0.0067509982533246
16,8,0,3,0.0014346197198311,0.0100000083685958
16,8,0,4,0.000663723378211,0.0068467674299246
16,8,1,0,0.0009100489984565,0.0084648977638512
16,8,1,1,0.000390832795569,0.004801164991045
16,8,1,2,0.000687087087994,0.0067479646996464
16,8,1,3,0.000578836688268,0.0053558644583514
16,8,1,4,0.000560621356454,0.004915961179258
16,8,2,0,0.0015687043843506,0.0112512235640131
16,8,2,1,0.0010728014675177,0.0085209178642169
16,8,2,2,0.0015209978063559,0.0102143021483302
16,8,2,3,0.001349054436693,0.0084061894045045
16,8,2,4,0.0014886824447444,0.008656124627719
16,8,3,0,0.0016529886013629,0.0094129644019138
16,8,3,1,0.000693623721303,0.0066658145517471
16,8,3,2,0.0014909365430766,0.0089530991463732
16,8,3,3,0.001103728375102,0.0088876499628935
16,8,3,4,0.0003973879682566,0.0048368436601663
16,8,4,0,0.0041354812321074,0.0154741947129937
16,8,4,1,0.0007473861126503,0.0077388994892312
16,8,4,2,0.0008707190054726,0.0066426378386247
16,8,4,3,0.0015229140976215,0.0092633155377706
16,8,4,4,0.0005168833569056,0.0054129260957495
64,1,0,0,0.0010844456383777,0.0046264714435343
64,1,0,1,0.0028177976527941,0.0078942080397861
64,1,0,2,0.0016242032107009,0.0062417134221682
64,1,0,3,0.0020413577698234,0.0068936728432413
64,1,0,4,0.0014426028974729,0.0059486868277527
64,1,1,0,0.0001905781874433,0.0018328701345066
64,1,1,1,0.0002004481967168,0.0021100084496748
64,1,1,2,0.0002661970842542,0.002191431511983
64,1,1,3,0.0009395875936035,0.004653360341217
64,1,1,4,0.0002667290590314,0.0024383532218283
64,1,2,0,0.0019144706670495,0.0060648368498397
64,1,2,1,0.0046210136774907,0.0097684075025768
64,1,2,2,0.0020790913410656,0.0070777908622631
64,1,2,3,0.0007722338899261,0.004117777004318
64,1,2,4,0.0043577218757405,0.01028461071333
64,1,3,0,0.001929252235399,0.0061789021621518
64,1,3,1,0.0024406457908584,0.0073672527605675
64,1,3,2,0.0008768850273797,0.004572397211531
64,1,3,3,0.0033698245340785,0.0088736073195775
64,1,3,4,0.0024637516619782,0.0077845845223098
64,1,4,0,6.939556830359478e-05,0.0011455227980989
64,1,4,1,0.0018676570259862,0.0064378939422535
64,1,4,2,2.428430087408201e-05,0.0007131227285579
64,1,4,3,0.0032086807613531,0.008616521574054
64,1,4,4,2.124630065404088e-06,0.0002253414854575
64,8,0,0,0.0028252357371008,0.0069352235278594
64,8,0,1,0.0031327639220031,0.0085434326452741
64,8,0,2,0.0039266224941222,0.0094529545277154
64,8,0,3,0.0027986719875642,0.0072051527974604
64,8,0,4,0.0026873381674821,0.0079787852057566
64,8,1,0,0.0011971563116745,0.0050562118031681
64,8,1,1,0.0004051603578454,0.0024677534059699
64,8,1,2,0.0007229835942113,0.0034079489609741
64,8,1,3,0.0010045035708228,0.0041783485323044
64,8,1,4,0.0006131069801803,0.0032771669854831
64,8,2,0,0.0052559934306067,0.010364637213995
64,8,2,1,0.0018151949635398,0.0054146184413273
64,8,2,2,0.0045799261192538,0.0085550851907849
64,8,2,3,0.003731120475649,0.0081644919690187
64,8,2,4,0.0052131122076828,0.0095098893589843
64,8,3,0,0.0032922377209488,0.0072322428864686
64,8,3,1,0.0031951309352244,0.0080692700576677
64,8,3,2,0.0050562200071141,0.0102221603443926
64,8,3,3,0.0024863083062164,0.0069510982863728
64,8,3,4,0.002271402678123,0.0072366588622508
64,8,4,0,0.0065998436844228,0.0085933708400156
64,8,4,1,0.0024914817357353,0.0066219904328791
64,8,4,2,0.0040064159099998,0.0090939633927551
64,8,4,3,0.0046224371889693,0.008134641249056
64,8,4,4,0.0019556327272843,0.0055939647326462
