family,groups,dimension,steps,batch,finite_normalizer,failure_step,coordinate_terminal_variance
gaussian,16,1,128,2,False,103,
gaussian,16,1,128,3,False,104,
gaussian,16,1,128,4,False,104,
gaussian,16,1,128,5,False,105,
gaussian,16,1,128,6,False,106,
gaussian,16,1,128,7,False,107,
gaussian,16,1,128,8,False,109,
gaussian,16,1,128,9,False,110,
gaussian,16,1,128,10,False,113,
gaussian,16,1,128,11,False,116,
gaussian,16,1,128,12,False,122,
gaussian,16,1,128,13,True,0,[0.07154534967533947]
gaussian,16,1,128,14,True,0,[0.06190526798799212]
gaussian,16,1,128,15,True,0,[0.05917860997380127]
gaussian,16,1,128,16,True,0,[0.05673660676282142]
gaussian,16,1,512,2,False,420,
gaussian,16,1,512,3,False,421,
gaussian,16,1,512,4,False,424,
gaussian,16,1,512,5,False,427,
gaussian,16,1,512,6,False,432,
gaussian,16,1,512,7,False,437,
gaussian,16,1,512,8,False,445,
gaussian,16,1,512,9,False,453,
gaussian,16,1,512,10,False,468,
gaussian,16,1,512,11,False,487,
gaussian,16,1,512,12,True,0,[0.07699732225062321]
gaussian,16,1,512,13,True,0,[0.06326252569036087]
gaussian,16,1,512,14,True,0,[0.05963249648341231]
gaussian,16,1,512,15,True,0,[0.05697368613408696]
gaussian,16,1,512,16,True,0,[0.05459255415241707]
gaussian,16,1,2048,2,False,1686,
gaussian,16,1,2048,3,False,1689,
gaussian,16,1,2048,4,False,1705,
gaussian,16,1,2048,5,False,1714,
gaussian,16,1,2048,6,False,1738,
gaussian,16,1,2048,7,False,1757,
gaussian,16,1,2048,8,False,1793,
gaussian,16,1,2048,9,False,1826,
gaussian,16,1,2048,10,False,1888,
gaussian,16,1,2048,11,False,1981,
gaussian,16,1,2048,12,True,0,[0.07182054816023928]
gaussian,16,1,2048,13,True,0,[0.06254304714545483]
gaussian,16,1,2048,14,True,0,[0.05909578266362318]
gaussian,16,1,2048,15,True,0,[0.05645401722231351]
gaussian,16,1,2048,16,True,0,[0.054088247922558876]
gaussian,16,8,128,2,False,103,
gaussian,16,8,128,3,False,104,
gaussian,16,8,128,4,False,104,
gaussian,16,8,128,5,False,105,
gaussian,16,8,128,6,False,106,
gaussian,16,8,128,7,False,107,
gaussian,16,8,128,8,False,108,
gaussian,16,8,128,9,False,110,
gaussian,16,8,128,10,False,113,
gaussian,16,8,128,11,False,116,
gaussian,16,8,128,12,False,122,
gaussian,16,8,128,13,True,0,"[0.07154534967533947, 0.07069330458647008, 0.07111650946994136, 0.07146738800143519, 0.07014709715732534, 0.07140080352398512, 0.07123666348207881, 0.0705079591503709]"
gaussian,16,8,128,14,True,0,"[0.06190526798799212, 0.06207695947771395, 0.06204660461385646, 0.061976743013698946, 0.062089304095542364, 0.06199850295493587, 0.0620311436621391, 0.062083540496191816]"
gaussian,16,8,128,15,True,0,"[0.05917860997380127, 0.05913334886991821, 0.05915618063718908, 0.05917458374415638, 0.059102800488811044, 0.05917112720312077, 0.059162535199384386, 0.059123122608182366]"
gaussian,16,8,128,16,True,0,"[0.05673660676282142, 0.05673660676285025, 0.05673660676283959, 0.056736606762825346, 0.05673660676285558, 0.056736606762828455, 0.05673660676283529, 0.05673660676285298]"
gaussian,16,8,512,2,False,419,
gaussian,16,8,512,3,False,421,
gaussian,16,8,512,4,False,423,
gaussian,16,8,512,5,False,427,
gaussian,16,8,512,6,False,431,
gaussian,16,8,512,7,False,437,
gaussian,16,8,512,8,False,444,
gaussian,16,8,512,9,False,453,
gaussian,16,8,512,10,False,466,
gaussian,16,8,512,11,False,487,
gaussian,16,8,512,12,True,0,"[0.07699732225062321, 0.08016707752715684, 0.07955323277049083, 0.07824389904282593, 0.08042259426252371, 0.07864338056019606, 0.07925640283035425, 0.08030289927943596]"
gaussian,16,8,512,13,True,0,"[0.06326252569036087, 0.06305455883720935, 0.06315853439659169, 0.06324360495657973, 0.06291850037595927, 0.06322737266047752, 0.06318776908908136, 0.06300857226015417]"
gaussian,16,8,512,14,True,0,"[0.05963249648341231, 0.05980036200140023, 0.059770742556871446, 0.05970247777844278, 0.05981240767576697, 0.05972378426771347, 0.05975565636436996, 0.059806783640948935]"
gaussian,16,8,512,15,True,0,"[0.05697368613408696, 0.0569293683632657, 0.05695172353936984, 0.05696974358232904, 0.05689945998016434, 0.05696635891612062, 0.05695794572096509, 0.056919356047787195]"
