batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,independent_ks_mean,independent_mean_absolute_error,independent_positive_mass_error,independent_variance_relative_error,independent_w1_mean,initialization,integrability_certificate,joint_sign_total_variation,ks_mean,mean_absolute_error,method,minimum_ess_fraction,off_diagonal_correlation_rms,particles,peak_gpu_bytes,positive_mass_error,resampling_count,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,0,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9112126076998854,16,0.09016363064978472,0.048234039854879285,0.0020446021677339443,0.09139179905758432,0.0484789013326848,standard normal at finite u_max,finite,0.0020446076497974155,0.09016363064978472,0.04823403985487951,full,0.1563965140066135,0.0,8192,10948608,0.002044607649797081,9,16777216,0.17128588259220123,0,completed,128,20.0,0.09139179905758377,0.04847848538595197
4,28,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.781693717120491,16,0.024675521084512986,0.012225994995968215,0.0005286442293203075,0.06037872931375643,0.013347460529401322,standard normal at finite u_max,finite,0.0005286497113836254,0.024675521084512986,0.012225994995967993,full,0.24200843861592336,0.0,8192,10948608,0.0005286497113828892,9,16777216,0.16587035357952118,4,completed,128,20.0,0.06037872931375643,0.013347388863813182
4,56,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7435808227422337,16,0.09769552747425847,0.05751098301318336,0.0024563850685275224,0.05222852471302375,0.05754557090167599,standard normal at finite u_max,finite,0.002456390550588882,0.09769552747425847,0.05751098301318325,full,0.43093681353265806,0.0,8192,10948608,0.002456390550590215,9,67108864,0.6107505336403847,3,completed,512,20.0,0.05222852471302364,0.05754817696938445
4,84,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9997097283706102,16,0.039062544340873806,0.021621497889858565,0.0030655296172381608,0.1126714082852186,0.02268140330650563,standard normal at finite u_max,finite,0.0030655350993011943,0.039062544340873806,0.021621497889858565,full,0.4894033009400981,0.0,8192,10948608,0.0030655350993010755,9,268435456,2.4028072506189346,2,completed,2048,20.0,0.11267140828521816,0.02268405285670913
4,112,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,gaussian,0.8971604573364894,16,0.1248898891875482,0.0642037503259065,0.0022259783717070852,0.13960631543129304,0.0665645273111492,standard normal at finite u_max,finite,0.01488568605359593,0.12488988918754823,0.06420375032590646,full,0.11265068681768996,0.06983064763630148,8192,85731328,0.002225981112738362,19,16777216,0.20985736697912216,1,completed,128,20.0,0.1396063154312933,0.06656412845769151
4,140,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,gaussian,0.5130245862096897,16,0.1168021879072525,0.061945564248978915,0.0031724580704532435,0.12754025379762823,0.0625075271555619,standard normal at finite u_max,finite,0.01393060167791364,0.1168021879072525,0.061945564248978915,full,0.3691449396390334,0.0660595816240809,8192,85731328,0.0031724608114844927,22,67108864,0.7651728242635727,0,completed,512,20.0,0.1275402537976284,0.06250754286303484
4,168,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,gaussian,0.9834262285911731,16,0.06323076440686812,0.029679059643644923,0.00266482024920639,0.1495588302414275,0.0313992408039117,standard normal at finite u_max,finite,0.02103337622345242,0.06323076440686812,0.02967905964364516,full,0.37773181328013933,0.051672208164544736,8192,85731328,0.002664825731269471,21,67108864,0.7679660692811012,4,completed,512,20.0,0.1495588302414271,0.03139917656865808
4,196,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,gaussian,0.5726824289125038,16,0.08486693379602434,0.043313239728175454,0.002230593242607423,0.09387519346402881,0.04435179481534669,standard normal at finite u_max,finite,0.017559560170659953,0.08486693379602434,0.043313239728175454,full,0.4594730390614038,0.06503985708501886,8192,85731328,0.0022305987246700326,23,268435456,2.955207049846649,3,completed,2048,20.0,0.09387519346402878,0.04435126874804826
4,224,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9440392284492617,64,0.08489084184262169,0.0194857479054652,1.3000392207196398e-08,0.1495837868368326,0.01986409123770718,standard normal at finite u_max,infinite,1.300072316468004e-08,0.08489084184262169,0.019485747905465534,full,0.00013105570662977025,0.0,8192,42406912,1.3000722942635434e-08,41,67108864,0.17269006371498108,2,completed,128,20.0,0.14958378683683227,0.019866263774180354
4,252,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5834077683917988,64,0.03917075523551472,0.013189799793310919,1.3000392207196398e-08,0.028124242086446594,0.013229849849020802,standard normal at finite u_max,finite,1.300072227650162e-08,0.03917075523551472,0.013189799793311141,full,0.13149813119614395,0.0,8192,42406912,1.3000722165479317e-08,43,268435456,0.6262670606374741,1,completed,512,20.0,0.028124242086446927,0.013229387790738378
4,280,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999524825034529,64,0.06491229332687931,0.015312865033155099,1.3000392207196398e-08,0.17330621500644472,0.01584551905489122,standard normal at finite u_max,finite,1.300072272059083e-08,0.06491229332687931,0.015312865033155432,full,0.4166401017873274,0.0,8192,42406912,1.3000722942635434e-08,39,1073741824,2.4011178016662598,0,completed,2048,20.0,0.17330621500644416,0.01584438418354909
4,308,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7323335008463197,64,0.16189228444161358,0.04663110672077109,1.3000392207196398e-08,0.03859587660871122,0.0467283761688119,standard normal at finite u_max,finite,1.3000724496947669e-08,0.16189228444161358,0.0466311067207712,full,0.4189417814818655,0.0,8192,42406912,1.300072272059083e-08,44,1073741824,2.3935413882136345,4,completed,2048,20.0,0.03859587660871078,0.04672801038234471
4,336,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,gaussian,0.6695341607738062,64,0.05352528238430418,0.012586541923119976,1.3000392415363216e-08,0.1436112193201711,0.014320123248150945,standard normal at finite u_max,infinite,1.0400577490206046e-07,0.05352528238430418,0.012586541923119782,full,0.00014610555703386798,0.03642344800808907,8192,337420288,1.3000722165479317e-08,49,67108864,0.5102496072649956,3,completed,128,20.0,0.14361121932017132,0.014320468539581889
4,364,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,gaussian,0.9811238243500521,64,0.04980788634689932,0.009610650584215757,1.3000392415363216e-08,0.16568925892801345,0.012308256847319636,standard normal at finite u_max,finite,1.0400577501308276e-07,0.04980788634689932,0.009610650584215535,full,0.11049063467750932,0.05420357957838751,8192,337420288,1.300072183241241e-08,89,268435456,1.9341866746544838,2,completed,512,20.0,0.16568925892801403,0.01230781547804903
4,392,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,gaussian,0.5436485978193848,64,0.05517741574945227,0.010426947395624275,1.3000392415363216e-08,0.19781555840367954,0.013990736371990897,standard normal at finite u_max,finite,1.040057744024601e-07,0.05517741574945227,0.010426947395624248,full,0.33743036678020655,0.04492396932862207,8192,337420288,1.3000722498546224e-08,97,1073741824,7.5725415870547295,1,completed,2048,20.0,0.1978155584036796,0.013990717938931065
4,420,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,mixture,0.9404836058022945,16,0.016489753229875226,0.026754567967638893,0.013236887240397899,0.005233948262313715,0.02845015547622837,standard normal at finite u_max,finite,0.013236887299396288,0.016489753229875226,0.026754567967639004,full,0.47215155927283964,0.0,8192,10948608,0.013236887299396816,2,16777216,0.1571778878569603,0,completed,128,20.0,0.005233948262313937,0.028451868858352877
4,448,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,mixture,0.8001903475761133,16,0.040460922188978454,0.08008140065233241,0.03160126462366869,0.04515703561769535,0.08197832375471084,standard normal at finite u_max,finite,0.031601264564668996,0.040460922188978454,0.08008140065233228,full,0.2303135998040928,0.0,8192,10948608,0.03160126456466961,2,16777216,0.15601595491170883,4,completed,128,20.0,0.04515703561769491,0.08197851248201508
4,476,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,mixture,0.7887813738329195,16,0.014013873553017975,0.027831859555877136,0.009104771418121549,0.010131510413468825,0.0283213293328607,standard normal at finite u_max,finite,0.009104771477119494,0.014013873553017975,0.027831859555877247,full,0.4979420049768391,0.0,8192,10948608,0.009104771477120521,1,67108864,0.6016011461615562,3,completed,512,20.0,0.010131510413468825,0.028321476349746813
4,504,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,mixture,0.9983174494735333,16,0.0073448547564651245,7.47008085756895e-05,0.0012537988563917635,0.0029593094722011326,0.008069614525877844,standard normal at finite u_max,finite,0.0012537987973930131,0.0073448547564651245,7.47008085759393e-05,full,0.4960280798201914,0.0,8192,10948608,0.0012537987973932907,2,268435456,2.387622758746147,2,completed,2048,20.0,0.0029593094722001334,0.008069165467842428
4,532,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,mixture,0.7019253692477793,16,0.2975869988679702,0.6850643706942212,0.2706907568464611,0.25264898499044064,0.685466347996066,standard normal at finite u_max,finite,0.6833091265328842,0.29758699886797013,0.6850643706942212,full,0.11410572546122007,0.3885441523355144,8192,85731328,0.27069075686121047,7,16777216,0.20521431416273117,1,completed,128,20.0,0.25264898499044086,0.6854658382856034
4,560,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,mixture,0.7049725986793214,16,0.1667962094341751,0.35662866441508617,0.14975412620307477,0.047217373021313305,0.35934789850797727,standard normal at finite u_max,finite,0.42736458853160014,0.1667962094341751,0.35662866441508617,full,0.42531334612038235,0.2631715122282435,8192,85731328,0.14975412615882533,6,67108864,0.8554831445217133,0,completed,512,20.0,0.04721737302131335,0.359347771960028
