groups,dimension,steps,status,population_w1_mean,population_mean_error,population_variance_relative_error,failure_step,failure_denominator
16,1,128,finite,0.007819059102538002,0.0071385665281699096,0.05218688436667884,,
16,1,512,finite,0.0018434385300883612,0.0016683988039065678,0.01242518262286052,,
16,1,2048,finite,0.0004550591359976018,0.0004110503608757421,0.0030727657083389204,,
16,8,128,finite,0.007819059102528014,0.007138566528159029,0.05218688436663271,,
16,8,512,finite,0.0018434385300857316,0.0016683988039037229,0.012425182622848086,,
16,8,2048,finite,0.0004550591359974882,0.0004110503608757976,0.0030727657083351456,,
64,1,128,infinite,,,,100.0,-0.003111124863536485
64,1,512,finite,0.0020858625726382133,0.002084118888882047,0.013152390236584877,,
64,1,2048,finite,0.0004928608982209382,0.0004923347448312354,0.0031798396228142067,,
64,8,128,infinite,,,,100.0,-0.0031111248635371513
64,8,512,finite,0.002085862572638336,0.002084118888882172,0.01315239023658385,,
64,8,2048,finite,0.0004928608982213931,0.0004923347448316934,0.003179839622814734,,
