anchor_preparation,batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,factor_calls,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,preparation_calls,preparation_derivative_calls,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
,4,0,700,1.0,8,0.5,4294967296,learned,64,0.061252367439509424,anchored_confirmation,142.92737326940784,0.012807184964125876,full,32768,confirmation,0.00019933626146342864,0,0,20260921,0,96,6.104570437222719,6.104570437222719,21017010,full,0.0015934774757809782,32768,0.012967225241294563,0.03391922931335041,completed,2048,0,0.07275509034498996,0.0159457073905813,0.00023792114697433753,0.1665193046448224,0.018928262953048287,20.0,0.16795384987478912,0.014849666740103545
,4,1,700,1.0,8,0.5,268435456,learned,64,0.5272896330059949,anchored_confirmation,1824.156944708265,0.14246669329028208,tail_fixed,32768,confirmation,0.0003361437939339157,0,0,20260921,0,518,4.466354850679636,4.466354850679636,21017010,tail_fixed,0.00268793773554449,32768,0.14400775743025324,2.328837485880851,completed,2048,0,0.528103236028828,0.14408807939663243,0.0003747286794448246,0.5795705245685527,0.15004702266501965,20.0,0.5801066602233396,0.1486474682366798
"{'preparation_calls': 917504, 'preparation_seconds': 0.7383345440030098, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,2,700,1.0,8,0.5,269352960,learned,64,0.14444815504126152,anchored_confirmation,146.25395626357889,0.03665062408790739,tail_anchored,32768,confirmation,0.0001657402720229434,917504,786432,20260921,0,114,5.292585965245962,5.292585965245962,21017010,tail_anchored,0.001324709560258163,32768,0.040342724591553,0.1566741623452005,completed,2048,0,0.14229249288670034,0.036042367125215524,0.00020432515753385228,0.19317703290528784,0.03757700906019237,20.0,0.1943319754766353,0.037612895874211086
,4,3,701,1.0,8,0.5,4294967296,learned,64,0.07248683842943193,anchored_confirmation,129.47189108831265,0.015579703740739581,full,32768,confirmation,2.4743845684793708e-05,0,0,20260921,0,102,6.1054422073066235,6.1054422073066235,21017020,full,0.00019794899598862278,32768,0.014558822281532633,0.05158625588428002,completed,2048,0,0.08762087143325809,0.0202308141035382,3.1521651053453836e-05,0.17976973899689264,0.021437027741885897,20.0,0.1812113892357977,0.017284983303134938
,4,4,701,1.0,8,0.5,268435456,learned,64,0.45609964941781256,anchored_confirmation,1625.495968402345,0.1308920027537048,tail_fixed,32768,confirmation,2.4743845684627175e-05,0,0,20260921,0,494,4.329095043241978,4.329095043241978,21017020,tail_fixed,0.00019794899598551415,32768,0.14063761582330647,2.277833084530746,completed,2048,0,0.4684855032539532,0.1364099646711125,3.15216510532873e-05,0.5595077696721676,0.14257587352310652,20.0,0.5606504350173231,0.13734569985719625
"{'preparation_calls': 917504, 'preparation_seconds': 0.6633220240473747, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,5,701,1.0,8,0.5,269352960,learned,64,0.06548735878437367,anchored_confirmation,129.02610881961647,0.013540353040784527,tail_anchored,32768,confirmation,2.4743845685071264e-05,917504,786432,20260921,0,113,5.299994133412838,5.299994133412838,21017020,tail_anchored,0.00019794899598612477,32768,0.016259474875979365,0.025378759847229284,completed,2048,0,0.07949551373454734,0.017485068896191405,3.152165105373139e-05,0.17783204513023895,0.01978246344199896,20.0,0.17947568917129797,0.015772857030841046
,4,6,702,1.0,8,0.5,4294967296,learned,64,0.13553672152643498,anchored_confirmation,69.93095151404155,0.03214590724625098,full,32768,confirmation,0.009358195600806488,0,0,20260921,0,91,6.101941745728254,6.101941745728254,21017030,full,0.07485801684698155,32768,0.041302288196683516,0.11511366828725701,completed,2048,0,0.14574734506366635,0.03495702609223604,0.010791514572297572,0.22532909392464362,0.03616119668187354,20.0,0.22364028200041056,0.0334548274804336
,4,7,702,1.0,8,0.5,268435456,learned,64,0.2985615163089095,anchored_confirmation,305.4065430966981,0.07883011724517335,tail_fixed,32768,confirmation,0.0003236336318791222,0,0,20260921,0,326,4.301085937768221,4.301085937768221,21017030,tail_fixed,0.0025493340881802213,32768,0.07340374234492567,0.6066973574164549,completed,2048,0,0.28392013450293263,0.07420966741836475,0.0011215060522970915,0.2731917207509644,0.07505617801583414,20.0,0.27064863663849026,0.07942034079021477
"{'preparation_calls': 917504, 'preparation_seconds': 0.6554668173193932, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,8,702,1.0,8,0.5,269352960,learned,64,0.13660677266272492,anchored_confirmation,75.71802260120208,0.034120489849512825,tail_anchored,32768,confirmation,0.015393302192488434,917504,786432,20260921,0,111,5.20731944963336,5.20731944963336,21017030,tail_anchored,0.12313419942592572,32768,0.04396924460993684,0.21283181272263532,completed,2048,0,0.13671157327431727,0.034527926721343694,0.013962800566780795,0.2290918520756588,0.03821088968738527,20.0,0.22609304715178324,0.037494751537454914
,4,9,703,1.0,8,0.5,4294967296,learned,64,0.07370854635485208,anchored_confirmation,99.19828388149371,0.01736086767158842,full,32768,confirmation,0.007062367825739782,0,0,20260921,0,93,6.105766918510199,6.105766918510199,21017040,full,0.03710051274357378,32768,0.015554296588793017,0.057052345155029535,completed,2048,0,0.0598651882364401,0.01384892777748545,0.009546960077216532,0.12505407574548408,0.015383297543381445,20.0,0.12488912719472729,0.019069190659469413
,4,10,703,1.0,8,0.5,268435456,learned,64,0.38449848970823997,anchored_confirmation,560.5322657573405,0.10108802798153854,tail_fixed,32768,confirmation,0.030489811387847912,0,0,20260921,0,408,4.411423496901989,4.411423496901989,21017040,tail_fixed,0.22242613666201475,32768,0.11031986650092351,1.1145613508472259,completed,2048,0,0.40656814213959713,0.1088395006798142,0.03774736592639713,0.3448631063685337,0.10990409911103902,20.0,0.34540820747987677,0.10335560977768375
