anchor_preparation,batch,cell_id,dataset_seed,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,ks_mean,line,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,phase,positive_mass_error,preparation_seconds,projection_seed,repeat,resampling_count,score_evaluations,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
,4,0,600,cpu,1.0,8,0.5,learned,0.5817148521135722,64,standard normal at finite u_max,0.09184646919160627,anchored_pilot,0.022161158483172287,full,0.2986344855825596,4096,0,development,0.027701229107912253,0.0008758306503295898,20260921,0,80,268435456,278.20045034587383,278.20132617652416,21016010,full,0.15773434812735812,32768,0.02271495894001797,0.12221411279701636,completed,1024,0,0.08581568978337188,0.01967381881810518,0.025474870310257716,0.16914695486273867,0.021899848374300514,20.0,0.17117985463453672,0.023564766368988525
,4,1,600,cpu,1.0,8,0.5,learned,0.7278963803377942,64,standard normal at finite u_max,0.42590410344866503,anchored_pilot,0.11072582111949633,tail,0.00025035174693383125,4096,0,development,0.06357921698302038,0.0033682063221931458,20260921,0,292,16777216,19.53463312983513,19.538001336157322,21016010,tail,0.33215873564493603,32768,0.09160221894504413,1.306685883209294,completed,1024,0,0.42601206217338483,0.1110182929184271,0.06135285818536585,0.4686794495734835,0.11582057469663735,20.0,0.4690401513550161,0.11578578010889654
"{'preparation_calls': 458752, 'preparation_seconds': 0.26543618738651276, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 1024, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,2,600,cpu,1.0,8,0.5,learned,0.9959743966627435,64,standard normal at finite u_max,0.13904745923266681,anchored_pilot,0.031349674312357356,tail_anchored,0.1950420481972573,4096,0,development,0.02007135940564324,0.26922354474663734,20260921,0,116,16777216,19.9145350754261,20.18375862017274,21016010,tail_anchored,0.09672473688027614,32768,0.038208601436097674,0.1387730286903286,completed,1024,0,0.1348406416725303,0.030028634832357647,0.020663163142430486,0.23120938182905001,0.03360030951812199,20.0,0.23278989931722865,0.03460056931490289
,4,3,601,cpu,1.0,8,0.5,learned,0.9804718280774549,64,standard normal at finite u_max,0.06666581589695886,anchored_pilot,0.013214180288477427,full,0.20086823885410016,4096,0,development,0.0006411841949112984,0.0034705698490142822,20260921,0,96,268435456,247.21898341923952,247.22245398908854,21016020,full,0.005129473559289513,32768,0.016284033037167533,0.0762196700291798,completed,1024,0,0.054247622729881276,0.009433292987725952,0.001722031178745198,0.1880389095549229,0.013173536140416525,20.0,0.18722811222239338,0.015223832308329625
,4,4,601,cpu,1.0,8,0.5,learned,0.901039208803937,64,standard normal at finite u_max,0.6989316984929199,anchored_pilot,0.18308295341755043,tail,0.00024414246420968917,4096,0,development,0.0171353694526198,0.0008959732949733734,20260921,0,351,16777216,19.593769006431103,19.594664979726076,21016020,tail,0.1370829556209592,32768,0.1913033453962189,3.207318722840041,completed,1024,0,0.6985769967689346,0.18176511278530505,0.0182162164364537,0.6877254959755158,0.18266051459880303,20.0,0.6886748705936115,0.18406264375978548
"{'preparation_calls': 458752, 'preparation_seconds': 0.2697034776210785, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 1024, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,5,601,cpu,1.0,8,0.5,learned,0.9643221999928611,64,standard normal at finite u_max,0.0870057672374353,anchored_pilot,0.016128378742018515,tail_anchored,0.12955520133883427,4096,0,development,0.005180042719222996,0.2706347219645977,20260921,0,120,16777216,19.832789301872253,20.10342402383685,21016020,tail_anchored,0.04144034175378398,32768,0.018525569474114732,0.05247030289055943,completed,1024,0,0.08100393095294653,0.014919561342078665,0.006260889703056896,0.2188500858100299,0.01819937739021983,20.0,0.22085721345541687,0.02036867051791737
,4,6,602,cpu,1.0,8,0.5,learned,0.6709734620130565,64,standard normal at finite u_max,0.05869168859598779,anchored_pilot,0.00873429561832649,full,0.23754061163500104,4096,0,development,0.006142700164910476,0.0008916296064853668,20260921,0,87,268435456,222.8153014369309,222.81619306653738,21016030,full,0.043557938429907,32768,0.014426157221736255,0.04005609337721545,completed,1024,0,0.070475856835027,0.011668968459668999,0.009235590320594678,0.21907176238857895,0.01599294081932061,20.0,0.2178688395213965,0.013882280465306708
,4,7,602,cpu,1.0,8,0.5,learned,0.9980495130478377,64,standard normal at finite u_max,0.37605179574044834,anchored_pilot,0.10624666271610618,tail,0.00024426839476361927,4096,0,development,0.034065582914908736,0.006278328597545624,20260921,0,267,16777216,19.433059204369783,19.43933753296733,21016030,tail,0.2607321898654546,32768,0.12640225642594954,1.8158893073945679,completed,1024,0,0.3693881866188158,0.10162264956522145,0.030548534538999687,0.5255230654319927,0.10973435713945467,20.0,0.5246063339125739,0.11449508139738516
"{'preparation_calls': 458752, 'preparation_seconds': 0.2649415321648121, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 1024, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,8,602,cpu,1.0,8,0.5,learned,0.976928332372303,64,standard normal at finite u_max,0.0754174343774459,anchored_pilot,0.014732067581826328,tail_anchored,0.04498047326138265,4096,0,development,0.013660250440841695,0.26589539274573326,20260921,0,114,16777216,19.856661304831505,20.122556697577238,21016030,tail_anchored,0.1036736414229136,32768,0.01794609180360334,0.09379395079641983,completed,1024,0,0.09327271860561681,0.01941949949249475,0.016753140596525898,0.1801081556277712,0.022129136948564755,20.0,0.17853180385957632,0.018642900716455368
,4,9,603,cpu,1.0,8,0.5,learned,0.7537087326899227,64,standard normal at finite u_max,0.054948384769391394,anchored_pilot,0.010030056118317567,full,0.2791077930219147,4096,0,development,1.3068219851752882e-05,0.0008543021976947784,20260921,0,80,268435456,222.60996900126338,222.61082330346107,21016040,full,0.00010454575605081505,32768,0.015128351624026553,0.06737471966659193,completed,1024,0,0.0742240438311869,0.01570619725124687,1.652679606285734e-05,0.16328444428528296,0.018952864835756277,20.0,0.16381614547254197,0.014075845272789395
