anchor_preparation,batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,factor_calls,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,preparation_calls,preparation_derivative_calls,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
,4,0,700,1.0,8,0.5,4294967296,learned,64,0.061252367439509424,anchored_equivalent_replay,142.92737326940784,0.012807184964125876,full,32768,confirmation,0.00019933626146342864,0,0,20260921,0,96,6.014799598604441,6.014799598604441,21017010,full,0.0015934774757809782,32768,0.012967225241294563,0.03391922931335041,completed,2048,0,0.07275509034498996,0.0159457073905813,0.00023792114697433753,0.1665193046448224,0.018928262953048287,20.0,0.16795384987478912,0.014849666740103545
,4,1,700,1.0,8,0.5,268435456,learned,64,0.5272896330059949,anchored_equivalent_replay,1824.156944708265,0.14246669329028208,tail_fixed,32768,confirmation,0.0003361437939339157,0,0,20260921,0,518,4.278047762811184,4.278047762811184,21017010,tail_fixed,0.00268793773554449,32768,0.14400775743025324,2.328837485880851,completed,2048,0,0.528103236028828,0.14408807939663243,0.0003747286794448246,0.5795705245685527,0.15004702266501965,20.0,0.5801066602233396,0.1486474682366798
"{'preparation_calls': 917504, 'preparation_seconds': 0.6197205521166325, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,2,700,1.0,8,0.5,269352960,learned,64,0.1444481550412614,anchored_equivalent_replay,146.25395626357866,0.03665062408790731,tail_anchored,32768,confirmation,0.0001657402720229295,917504,786432,20260921,0,114,3.812999162822962,3.812999162822962,21017010,tail_anchored,0.0013247095602581076,32768,0.040342724591552984,0.1566741623452004,completed,2048,0,0.1422924928867002,0.0360423671252155,0.0002043251575338384,0.19317703290528787,0.03757700906019196,20.0,0.19433197547663533,0.037612895874210676
,4,3,701,1.0,8,0.5,4294967296,learned,64,0.07248683842943193,anchored_equivalent_replay,129.47189108831265,0.015579703740739581,full,32768,confirmation,2.4743845684793708e-05,0,0,20260921,0,102,6.02340280637145,6.02340280637145,21017020,full,0.00019794899598862278,32768,0.014558822281532633,0.05158625588428002,completed,2048,0,0.08762087143325809,0.0202308141035382,3.1521651053453836e-05,0.17976973899689264,0.021437027741885897,20.0,0.1812113892357977,0.017284983303134938
,4,4,701,1.0,8,0.5,268435456,learned,64,0.45609964941781256,anchored_equivalent_replay,1625.495968402345,0.1308920027537048,tail_fixed,32768,confirmation,2.4743845684627175e-05,0,0,20260921,0,494,4.248264655470848,4.248264655470848,21017020,tail_fixed,0.00019794899598551415,32768,0.14063761582330647,2.277833084530746,completed,2048,0,0.4684855032539532,0.1364099646711125,3.15216510532873e-05,0.5595077696721676,0.14257587352310652,20.0,0.5606504350173231,0.13734569985719625
"{'preparation_calls': 917504, 'preparation_seconds': 0.6776055842638016, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,5,701,1.0,8,0.5,269352960,learned,64,0.0654873587843737,anchored_equivalent_replay,129.0261088196164,0.013540353040784534,tail_anchored,32768,confirmation,2.4743845685071264e-05,917504,786432,20260921,0,113,3.8641836419701576,3.8641836419701576,21017020,tail_anchored,0.0001979489959862913,32768,0.016259474875979375,0.025378759847229298,completed,2048,0,0.0794955137345475,0.017485068896191412,3.152165105373139e-05,0.17783204513023898,0.01978246344199964,20.0,0.17947568917129803,0.015772857030841733
,4,6,702,1.0,8,0.5,4294967296,learned,64,0.13553672152643498,anchored_equivalent_replay,69.93095151404155,0.03214590724625098,full,32768,confirmation,0.009358195600806488,0,0,20260921,0,91,6.015616215765476,6.015616215765476,21017030,full,0.07485801684698155,32768,0.041302288196683516,0.11511366828725701,completed,2048,0,0.14574734506366635,0.03495702609223604,0.010791514572297572,0.22532909392464362,0.03616119668187354,20.0,0.22364028200041056,0.0334548274804336
,4,7,702,1.0,8,0.5,268435456,learned,64,0.2985615163089095,anchored_equivalent_replay,305.4065430966981,0.07883011724517335,tail_fixed,32768,confirmation,0.0003236336318791222,0,0,20260921,0,326,4.226816900074482,4.226816900074482,21017030,tail_fixed,0.0025493340881802213,32768,0.07340374234492567,0.6066973574164549,completed,2048,0,0.28392013450293263,0.07420966741836475,0.0011215060522970915,0.2731917207509644,0.07505617801583414,20.0,0.27064863663849026,0.07942034079021477
"{'preparation_calls': 917504, 'preparation_seconds': 0.6811367310583591, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,8,702,1.0,8,0.5,269352960,learned,64,0.1366067726627249,anchored_equivalent_replay,75.71802260120205,0.03412048984951287,tail_anchored,32768,confirmation,0.015393302192488462,917504,786432,20260921,0,111,3.8727949373424053,3.8727949373424053,21017030,tail_anchored,0.12313419942592595,32768,0.043969244609936856,0.21283181272263527,completed,2048,0,0.13671157327431704,0.0345279267213437,0.013962800566780823,0.22909185207565885,0.038210889687383336,20.0,0.22609304715178324,0.037494751537452964
,4,9,703,1.0,8,0.5,4294967296,learned,64,0.07370854635485208,anchored_equivalent_replay,99.19828388149371,0.01736086767158842,full,32768,confirmation,0.007062367825739782,0,0,20260921,0,93,6.028908152133226,6.028908152133226,21017040,full,0.03710051274357378,32768,0.015554296588793017,0.057052345155029535,completed,2048,0,0.0598651882364401,0.01384892777748545,0.009546960077216532,0.12505407574548408,0.015383297543381445,20.0,0.12488912719472729,0.019069190659469413
