cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
0,0,700,full,32768,full,0.00968765700587404,0.09842589601255372,0.875,1.0,0.33445924641339964,0.3981165293237595
1,0,700,tail_fixed,32768,tail_fixed,0.042180161005149895,0.20537809280726582,0.5,0.625,0.23542773658592997,0.2823632404035202
2,0,700,tail_anchored,32768,tail_anchored,0.01473448698955265,0.12138569516031389,0.75,0.875,0.3300056845002434,0.393047882095276
3,0,701,full,32768,full,0.017283347854902088,0.1314661471820867,0.75,0.875,0.3261131298761181,0.3876505233579253
4,0,701,tail_fixed,32768,tail_fixed,0.08038355945639082,0.28351994542957787,0.5,0.5,0.23859303743023733,0.2836096003625015
5,0,701,tail_anchored,32768,tail_anchored,0.01931369397611066,0.13897371685362186,0.75,0.875,0.3275131545999562,0.3896735354893832
6,0,702,full,32768,full,0.016163157150279092,0.12713440584782348,0.875,1.0,0.322531823020173,0.3843070938849521
7,0,702,tail_fixed,32768,tail_fixed,0.003218555142566487,0.05673231127467386,1.0,1.0,0.3250696138957909,0.38481541123812285
8,0,702,tail_anchored,32768,tail_anchored,0.023733640367260517,0.15405726327330535,0.75,0.875,0.3370751831436557,0.40243773897128604
9,0,703,full,32768,full,0.018938269023186412,0.13761638355656064,0.75,0.875,0.34772529746693875,0.4138398978293172
10,0,703,tail_fixed,32768,tail_fixed,0.04294794862505748,0.20723886851905335,0.5,0.625,0.29952295523280126,0.3609317541948937
11,0,703,tail_anchored,32768,tail_anchored,0.020106270757300298,0.14179658231882847,0.75,1.0,0.33983600483626286,0.4044755690924252
12,0,704,full,32768,full,0.005213995608747199,0.07220800238718143,1.0,1.0,0.33701426767017106,0.4005546947178791
13,0,704,tail_fixed,32768,tail_fixed,0.02430477828880017,0.15589989829631118,0.75,0.75,0.29358528741681067,0.34785537282717116
14,0,704,tail_anchored,32768,tail_anchored,0.005042751973187626,0.07101233676754783,1.0,1.0,0.33631272341069496,0.40094549850242145
15,0,705,full,32768,full,0.00920777217738976,0.09595713718838093,0.875,1.0,0.33020020135109174,0.3935040621502394
16,0,705,tail_fixed,32768,tail_fixed,0.020724566070161647,0.14396029338036806,0.625,0.625,0.28222256298349424,0.3357610637391226
17,0,705,tail_anchored,32768,tail_anchored,0.008721479219471147,0.09338886025362525,1.0,1.0,0.3345354667291374,0.39825483971515574
18,0,706,full,32768,full,0.007584342340907423,0.08708812973596013,0.875,1.0,0.32603953257860835,0.3850656085356825
19,0,706,tail_fixed,32768,tail_fixed,0.015591781452419299,0.12486705511230455,0.75,0.875,0.2945377332661604,0.3513488499288253
20,0,706,tail_anchored,32768,tail_anchored,0.005936560507747726,0.07704907856520886,1.0,1.0,0.31979162349485935,0.3802912209178816
21,0,707,full,32768,full,0.00689169401275301,0.08301622740617047,1.0,1.0,0.33471120146076205,0.3973511672360398
22,0,707,tail_fixed,32768,tail_fixed,0.029341619088053862,0.17129395519998322,0.375,0.625,0.23321699981170363,0.2792279400974932
23,0,707,tail_anchored,32768,tail_anchored,0.004555868608308216,0.06749717481723376,1.0,1.0,0.3303833375017587,0.3943574702923026
24,0,708,full,32768,full,0.010931843821386338,0.10455545811379881,0.875,1.0,0.3181405906855149,0.37911835820695194
25,0,708,tail_fixed,32768,tail_fixed,0.018140495254380926,0.13468665581408176,0.75,0.875,0.30427795590326334,0.36042078222565394
