cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
0,0,400,full,32768,full,0.024706847796184206,0.1571841206871235,0.625,0.625,0.3330576295754623,0.39687754574813505
1,0,400,tail_fixed,32768,tail_fixed,0.057441677503330055,0.23966993450019977,0.375,0.375,0.25423257878860284,0.3033947442872036
2,0,400,surrogate_only,32768,surrogate_only,0.019750102521310504,0.1405350579795323,0.75,0.75,0.33762887519092755,0.4009910563419804
3,0,400,surrogate_full,32768,surrogate_full,0.021525982844729803,0.14671735699885616,0.75,0.75,0.33501225825660197,0.40017445618243186
4,0,400,certified,32768,certified,0.018668819804831982,0.1366338896644313,0.75,0.75,0.3361608806270712,0.39909154468394853
5,0,401,full,32768,full,0.009150178186516273,0.0956565637398515,0.75,1.0,0.33176575332174574,0.3950923814354422
6,0,401,tail_fixed,32768,tail_fixed,0.028567621665255945,0.1690195895902482,0.5,0.625,0.3007001575624573,0.3609457654008731
7,0,401,surrogate_only,32768,surrogate_only,0.010122814029968123,0.10061219622872827,0.75,1.0,0.3422654675781277,0.4062143775834175
8,0,401,surrogate_full,32768,surrogate_full,0.008219507842495321,0.09066150143525818,0.875,1.0,0.3320311473128798,0.3936983386406282
9,0,401,certified,32768,certified,0.009565787518993387,0.09780484404666973,0.875,1.0,0.3336647560370438,0.39643497638451386
10,0,402,full,32768,full,0.008955383486533262,0.09463288797523439,0.875,1.0,0.3259896832398551,0.3864492211302321
11,0,402,tail_fixed,32768,tail_fixed,0.022470229097869603,0.1499007308116595,0.625,0.625,0.2737630195894383,0.3254641557010807
12,0,402,surrogate_only,32768,surrogate_only,0.009044232933495554,0.0951011720931743,0.875,1.0,0.32870826468588776,0.3898887849768377
13,0,402,surrogate_full,32768,surrogate_full,0.009345142982085868,0.0966702797248765,0.875,1.0,0.32437330917578233,0.3836688061819591
14,0,402,certified,32768,certified,0.008034609172512938,0.08963598146120194,0.875,1.0,0.3308777367807608,0.3935718844126914
15,0,403,full,32768,full,0.014625073441715538,0.1209341698682202,0.875,1.0,0.33942448509185286,0.40433954085449997
16,0,403,tail_fixed,32768,tail_fixed,0.01150520042095559,0.10726229729478849,0.75,1.0,0.3002222256427717,0.35915612519058787
17,0,403,surrogate_only,32768,surrogate_only,0.014747031339969602,0.121437355619964,0.875,1.0,0.3398392585944737,0.40415937723277684
18,0,403,surrogate_full,32768,surrogate_full,0.014243335594048577,0.11934544647387506,0.75,1.0,0.34609887244069093,0.4079870762704312
19,0,403,certified,32768,certified,0.016418981844700684,0.12813657496866648,0.75,0.875,0.3369535044628862,0.39968297617930304
20,0,404,full,32768,full,0.02109492406565616,0.14524091732585606,0.625,0.75,0.3303316248650967,0.3929653859478919
21,0,404,tail_fixed,32768,tail_fixed,0.02644828146954739,0.16262927617605444,0.5,0.75,0.305707606968365,0.36293064015871823
22,0,404,surrogate_only,32768,surrogate_only,0.02235481847916594,0.14951527841383283,0.5,0.75,0.32924010785120905,0.39022546410462433
23,0,404,surrogate_full,32768,surrogate_full,0.030323403501004792,0.17413616367947465,0.5,0.5,0.3138115470125974,0.37362980501196175
24,0,404,certified,32768,certified,0.02144079409606208,0.14642675334808897,0.625,0.75,0.324274436042972,0.38568271815835226
25,0,405,full,32768,full,0.035953843350340034,0.18961498714590055,0.75,0.75,0.3362670253585488,0.4005609176715662
26,0,405,tail_fixed,32768,tail_fixed,0.03362606449439167,0.1833741107528314,0.5,0.5,0.2766387122831662,0.32727416496943595
27,0,405,surrogate_only,32768,surrogate_only,0.036722111102577955,0.19163014142503249,0.75,0.75,0.3426628990284578,0.40723424933151936
28,0,405,surrogate_full,32768,surrogate_full,0.03805467013874718,0.19507606244423528,0.75,0.75,0.3367499812139704,0.4010335389439505
