batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,0,900,1.0,8,0.5,learned,64,0.056982543852484885,paper_anchor,85.94036662044988,0.010847217778674015,full,32768,confirmation,0.008716836091586124,20260921,0,6.081040773540735,6.081040773540735,21019010,full,0.06588155875003729,32768,0.013522025646179188,0.02710994127934849,completed,2048,0,0.06132397680571661,0.012533191408866412,0.011761502839176435,0.1927123338453849,0.015122115809102294,20.0,0.19298851072250495,0.014142239755822895
4,1,900,1.0,8,0.5,learned,64,0.03903437703910052,paper_anchor,96.38075911632953,0.009152548997232742,factorized_full,32768,confirmation,0.0017730164618888766,20260921,0,6.117849133908749,6.117849133908749,21019010,factorized_full,0.011698123520378093,32768,0.00948526489973283,0.010152142773679377,completed,2048,0,0.03802811739677973,0.009211531976220665,0.004813408788275478,0.09058569802780692,0.010032903418033458,20.0,0.09166952996857598,0.011018794171596673
8,2,900,1.0,8,0.5,learned,64,0.05863538139157494,paper_anchor,92.45654007473966,0.01195820061062898,tail_anchored,8192,confirmation,0.002059367380799704,20260921,0,1.2238165028393269,1.2238165028393269,21019010,anchor_n8192_k1024_m8,0.014255978802530071,32768,0.014954184055521859,0.06311860628429308,completed,1024,0,0.05323753873720269,0.009827874553771463,0.0023494051019226224,0.15213099798650864,0.0126694876016286,20.0,0.15254955065738462,0.013912311275369594
4,3,900,1.0,8,0.5,learned,64,0.07303827532808,paper_anchor,95.49880658528747,0.01617038917219822,tail_anchored,32768,confirmation,0.0021308890811362964,20260921,0,3.8912964463233948,3.8912964463233948,21019010,anchor_n32768_k2048_m4,0.014036854796360436,32768,0.016122218696991958,0.04777307959655462,completed,2048,0,0.07175425859550205,0.016178092042040355,0.0051755558287266065,0.1720723410956422,0.01777000670202063,20.0,0.1726107149534823,0.018737835479095695
4,4,901,1.0,8,0.5,learned,64,0.044362946177979874,paper_anchor,80.94605412341352,0.007452922783800798,full,32768,confirmation,0.009265589299670052,20260921,0,6.191535860300064,6.191535860300064,21019020,full,0.06194371555301405,32768,0.011220036981540827,0.03009957900809369,completed,2048,0,0.05203359554638274,0.009801575117481278,0.011671395255973363,0.15832229797008757,0.013205657198319731,20.0,0.15908470799592608,0.011046295074935333
4,5,901,1.0,8,0.5,learned,64,0.05325977565738906,paper_anchor,92.71274130208076,0.012256456966673664,factorized_full,32768,confirmation,0.013353216221423436,20260921,0,6.1247161366045475,6.1247161366045475,21019020,factorized_full,0.0832354741728661,32768,0.01146290811050735,0.01837806958740062,completed,2048,0,0.06465096930549774,0.015308315962754039,0.015759022177726748,0.11192078733387412,0.016454217542009406,20.0,0.11213036347196424,0.012968557231298887
8,6,901,1.0,8,0.5,learned,64,0.05253691001774651,paper_anchor,86.5518377225271,0.007960222257868393,tail_anchored,8192,confirmation,0.011167082271266391,20260921,0,1.223199225962162,1.223199225962162,21019020,anchor_n8192_k1024_m8,0.08059342569239589,32768,0.011472480493284691,0.04182335317134478,completed,1024,0,0.06527583106618212,0.012028099712340003,0.01339121947848197,0.19781998081746544,0.014998678708713485,20.0,0.1985887345122091,0.012614657483223875
4,7,901,1.0,8,0.5,learned,64,0.05078008104588992,paper_anchor,88.05990132511536,0.008824642710800322,tail_anchored,32768,confirmation,0.012005597439038625,20260921,0,3.8201218470931053,3.8201218470931053,21019020,anchor_n32768_k2048_m4,0.07366838090934516,32768,0.01180801416055657,0.02320072013735774,completed,2048,0,0.05477789935765459,0.009952559842914821,0.011723645942157766,0.18356566474157776,0.013080719084182554,20.0,0.1843278213888044,0.011822832453241477
4,8,902,1.0,8,0.5,learned,64,0.06780137834374289,paper_anchor,144.76441381648257,0.015053132486114673,full,32768,confirmation,3.575432950671105e-05,20260921,0,6.076073668897152,6.076073668897152,21019030,full,0.0002860346360308168,32768,0.02228570286043482,0.041107443983985865,completed,2048,0,0.08230866460476655,0.01955988999941885,2.6473877200171207e-05,0.15764728761363855,0.02132369924750705,20.0,0.1605530668016057,0.017618729848549806
4,9,902,1.0,8,0.5,learned,64,0.06340683739414739,paper_anchor,168.19830854650013,0.015311920820197382,factorized_full,32768,confirmation,2.5788671826162957e-05,20260921,0,6.130295738577843,6.130295738577843,21019030,factorized_full,0.000206309374585871,32768,0.015877095580933285,0.02539368272915933,completed,2048,0,0.06399724742309248,0.015193165219653158,1.6508219519623113e-05,0.109604523778169,0.01736981659830654,20.0,0.11258671716944338,0.016579342738219403
8,10,902,1.0,8,0.5,learned,64,0.06391451424983884,paper_anchor,144.36233688183083,0.010542916844734636,tail_anchored,8192,confirmation,4.486215815451e-05,20260921,0,1.2262776903808117,1.2262776903808117,21019030,anchor_n8192_k1024_m8,0.0003588972652093722,32768,0.01742754574284379,0.038264794224272855,completed,1024,0,0.09107131913166189,0.019753133801523597,3.558170584797016e-05,0.20769032518938974,0.02198841330841797,20.0,0.2103881198647673,0.016199315401743464
4,11,902,1.0,8,0.5,learned,64,0.0765551243556988,paper_anchor,150.0548720268477,0.01891451312355505,tail_anchored,32768,confirmation,4.486215815428796e-05,20260921,0,3.9050263799726963,3.9050263799726963,21019030,anchor_n32768_k2048_m4,0.000358897265210871,32768,0.020044946336177715,0.07452616339676282,completed,2048,0,0.09356913150388918,0.02373305754717009,3.558170584774811e-05,0.14467110517380344,0.02405865788115126,20.0,0.14755591074671745,0.019983308809478365
4,12,903,1.0,8,0.5,learned,64,0.05693667181465759,paper_anchor,162.12022011465606,0.011128406516091724,full,32768,confirmation,0.013879980521862362,20260921,0,6.189925264567137,6.189925264567137,21019040,full,0.07139957050147298,32768,0.016025744175811697,0.05491127439431701,completed,2048,0,0.07175354465391623,0.015211107604061176,0.016012618007037367,0.16997490746432445,0.017395096805144,20.0,0.17183562016947013,0.013325334687818248
4,13,903,1.0,8,0.5,learned,64,0.051092726763999265,paper_anchor,176.5735277168056,0.011488452711276433,factorized_full,32768,confirmation,0.006464882199908803,20260921,0,6.239501282572746,6.239501282572746,21019040,factorized_full,0.04120428105093546,32768,0.013433113042110319,0.01758411855089359,completed,2048,0,0.055374496121365316,0.013004645314088691,0.008597519685083807,0.1141551448190308,0.013831970688358541,20.0,0.11587130853848553,0.01310578428905064
8,14,903,1.0,8,0.5,learned,64,0.14174398034328264,paper_anchor,162.73898577512102,0.03378167442265085,tail_anchored,8192,confirmation,0.023411325849575212,20260921,0,1.2295430712401867,1.2295430712401867,21019040,anchor_n8192_k1024_m8,0.13738873240133082,32768,0.030740072172087154,0.13397148010940507,completed,1024,0,0.14294366964618327,0.033935170934983536,0.025543963334750217,0.21858956787880182,0.035489242015773165,20.0,0.22008538425439367,0.03513136127478626
4,15,903,1.0,8,0.5,learned,64,0.1582975397737153,paper_anchor,170.721094084365,0.03848268075606695,tail_anchored,32768,confirmation,0.04268235083390304,20260921,0,3.8333780467510223,3.8333780467510223,21019040,anchor_n32768_k2048_m4,0.2779053236146595,32768,0.041855477692819554,0.17703264897637963,completed,2048,0,0.15565837187913922,0.037688555418725816,0.04085505089065791,0.2238905137935707,0.03908924932501315,20.0,0.22502086254024128,0.040448169445524755
4,16,904,1.0,8,0.5,learned,64,0.0850266708119799,paper_anchor,117.31538112165582,0.02192173603042296,full,32768,confirmation,0.019559092418648852,20260921,0,6.086704943329096,6.086704943329096,21019050,full,0.08063981342712598,32768,0.02557693736106007,0.11711624370846851,completed,2048,0,0.09672436737285295,0.02569404696051242,0.02089619467858922,0.13177905586981198,0.02596749765708814,20.0,0.1268882585570104,0.023017978969738447
4,17,904,1.0,8,0.5,learned,64,0.05963356223011991,paper_anchor,126.30882533485851,0.013217849887571884,factorized_full,32768,confirmation,0.013244950687835488,20260921,0,6.1879085674881935,6.1879085674881935,21019050,factorized_full,0.054988238089432644,32768,0.01414939666749806,0.019890520514184676,completed,2048,0,0.07554885498815125,0.01729388692280085,0.014937138286085436,0.13085261861805372,0.019608532679637303,20.0,0.13316092835894938,0.015270294812726145
8,18,904,1.0,8,0.5,learned,64,0.05314817387536996,paper_anchor,118.55445141536812,0.010322749288114493,tail_anchored,8192,confirmation,0.01959424403040004,20260921,0,1.2239010408520699,1.2239010408520699,21019050,anchor_n8192_k1024_m8,0.08730365188213515,32768,0.012488460033655321,0.06589344775446518,completed,1024,0,0.053688725700777,0.010022342346362585,0.012146649340993715,0.14607133256382332,0.013055992629934898,20.0,0.1421626294439528,0.01283504240727592
4,19,904,1.0,8,0.5,learned,64,0.0550665016283374,paper_anchor,119.4872276244008,0.011915374775294259,tail_anchored,32768,confirmation,0.016384352489016124,20260921,0,3.8144317120313644,3.8144317120313644,21019050,anchor_n32768_k2048_m4,0.08554875732751283,32768,0.015943653612398575,0.08032268459291735,completed,2048,0,0.07427515383010334,0.017676528111703685,0.026896962560664525,0.1486941281988065,0.019114510137985777,20.0,0.15038581520904457,0.014236430223862517
4,20,905,1.0,8,0.5,learned,64,0.06744195813492879,paper_anchor,64.19441332673604,0.01594940848239589,full,32768,confirmation,0.001911112147581738,20260921,0,6.127832241356373,6.127832241356373,21019060,full,0.013061754447015943,32768,0.016730257971084368,0.08599298803467198,completed,2048,0,0.08381571266950794,0.02069652353520681,0.003964677102343599,0.13554666811692812,0.021473809974115427,20.0,0.1354814285279271,0.017548436288845094
4,21,905,1.0,8,0.5,learned,64,0.04794338617145437,paper_anchor,72.02050634877048,0.010954805349492449,factorized_full,32768,confirmation,0.002008536966317559,20260921,0,6.125556766986847,6.125556766986847,21019060,factorized_full,0.01450235499881098,32768,0.0133475662377216,0.015925421362695587,completed,2048,0,0.06465721720746784,0.015701920402303372,0.0022705037521067173,0.1158685653256537,0.016270919103593896,20.0,0.11469684907653978,0.012099994249588459
8,22,905,1.0,8,0.5,learned,64,0.05022866025102618,paper_anchor,65.28920107768923,0.007836623491028778,tail_anchored,8192,confirmation,0.005133823351943536,20260921,0,1.2273588851094246,1.2273588851094246,21019060,anchor_n8192_k1024_m8,0.03998899004419997,32768,0.011648245603440674,0.04101144460287339,completed,1024,0,0.06548886656494513,0.01236125931407907,0.004721509748505517,0.18433967076137636,0.01565728790571011,20.0,0.1831596574752615,0.012066119496594963
