batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,0,800,1.0,8,0.5,learned,64,0.060132070506188046,paper_anchor,95.69460526219083,0.012996267414501586,full,32768,development,0.014455951490195459,20260921,0,6.081487651914358,6.081487651914358,21018010,full,0.07542464673527742,32768,0.0168092655931079,0.03769119229685436,completed,2048,0,0.060579318321343376,0.013280775346173711,0.018731355092742884,0.16219829395670915,0.01558581443790853,20.0,0.16628889263618002,0.015222273742520748
4,1,800,1.0,8,0.5,learned,64,0.03779792933849464,paper_anchor,102.61815194965685,0.007249590668553573,factorized_full,32768,development,0.007716055474173089,20260921,0,6.123170264065266,6.123170264065266,21018010,factorized_full,0.03711054929308514,32768,0.012530722488438074,0.00811302720959424,completed,2048,0,0.04064265220138023,0.008804023663921644,0.011991459076720515,0.10847695136459548,0.010251794360773149,20.0,0.11314708479813985,0.010128857120645273
4,2,800,1.0,8,0.5,learned,64,0.07080054862893032,paper_anchor,94.46728495682198,0.014699675301585849,tail_anchored,8192,development,0.020066210448700328,20260921,0,1.029740359634161,1.029740359634161,21018010,anchor_n8192_k1024_m4,0.0923969964549626,32768,0.01682404446230036,0.10787207572421285,completed,1024,0,0.07532357905272541,0.016108005712355353,0.019000535544302408,0.1664629794944887,0.018272725224607045,20.0,0.17233311536421275,0.01766330430916927
8,3,800,1.0,8,0.5,learned,64,0.059409737870826776,paper_anchor,100.3403516349554,0.011476868612854194,tail_anchored,8192,development,0.013387674615562957,20260921,0,1.2999900244176388,1.2999900244176388,21018010,anchor_n8192_k1024_m8,0.07144695864766651,32768,0.01567693088921519,0.052406866142741176,completed,1024,0,0.06772324614721431,0.01438260366654365,0.01982183687104746,0.16869458570458382,0.016206706786952928,20.0,0.1726532087837482,0.014694417987418282
16,4,800,1.0,8,0.5,learned,64,0.06293048964312126,paper_anchor,93.33257827461478,0.01273170612874769,tail_anchored,8192,development,0.012931982701001522,20260921,0,1.5884788557887077,1.5884788557887077,21018010,anchor_n8192_k1024_m16,0.07323730462225304,32768,0.01740703951685397,0.09182521148606815,completed,1024,0,0.06223902768375095,0.013185014409494036,0.021806679079547524,0.12969283555092698,0.01631763536195862,20.0,0.13004866041221175,0.016515916845609317
4,5,800,1.0,8,0.5,learned,64,0.04174022095077844,paper_anchor,96.47271610418372,0.007089137566946751,tail_anchored,32768,development,0.01766336075908206,20260921,0,3.820256307721138,3.820256307721138,21018010,anchor_n32768_k2048_m4,0.08338262006080921,32768,0.012951562397246003,0.02428064428156389,completed,2048,0,0.046640178927456005,0.008880290752505914,0.021938764361629486,0.15822915390283304,0.011685070893326318,20.0,0.16286785955266772,0.011027960126176278
8,6,800,1.0,8,0.5,learned,64,0.14227534294898841,paper_anchor,97.28314900813938,0.03409803125860238,tail_anchored,32768,development,0.048872161728214035,20260921,0,5.390985686331987,5.390985686331987,21018010,anchor_n32768_k2048_m8,0.26741976229539094,32768,0.028200470165815963,0.14748315218858193,completed,2048,0,0.12558885797907623,0.029066158303212894,0.04320719404781754,0.2283412183079285,0.031967401745024146,20.0,0.23237975507813174,0.03637681353902808
16,7,800,1.0,8,0.5,learned,64,0.0823571180890808,paper_anchor,93.0271832722021,0.018817869951221755,tail_anchored,32768,development,0.0112507351693483,20260921,0,8.23120253905654,8.23120253905654,21018010,anchor_n32768_k2048_m16,0.06120456421236568,32768,0.022921765502372404,0.06254710957712167,completed,2048,0,0.08068504870233376,0.018276619282601117,0.012957618569707213,0.16952017204441885,0.02116586338468683,20.0,0.16982043987412337,0.021178628254466113
4,8,800,1.0,8,0.5,learned,64,0.062235728761604193,paper_anchor,95.54764567236971,0.014387456673861643,tail_anchored,32768,development,0.013225106891498722,20260921,0,7.642890240997076,7.642890240997076,21018010,anchor_n32768_k4096_m4,0.06769782784888519,32768,0.015886229366921276,0.06490339880385838,completed,4096,0,0.06573668591646604,0.015577983442897786,0.02041060260452189,0.1427141118521864,0.016848791672174845,20.0,0.1435269805749912,0.015584978470056389
4,9,801,1.0,8,0.5,learned,64,0.05813879138370147,paper_anchor,80.89459452970486,0.012861004413609226,full,32768,development,0.004514723814010053,20260921,0,6.131330255419016,6.131330255419016,21018020,full,0.019634742482367483,32768,0.014632587146844754,0.05770697539480652,completed,2048,0,0.0622623119541144,0.013990407620296588,0.010644762267598184,0.13037211734823548,0.015494651595162261,20.0,0.1335583532379519,0.014379816788658378
