batch,cell_id,covariance_error,coverage90,coverage95,dataset_seed,dimension,groups,line,log_normalizer,mean_error,method,particles,phase,proposal_scale,regime,seconds,seconds_including_preparation,seed,setting_id,sliced_w1_32,stages,state_mse,status,steps,w1_mean,width90,width95
4,0,0.005913630766759575,1.0,1.0,1200,2,12,sensor,1.1987835846384058,0.02339233680130538,full,16384,confirmation,,ambiguous,1.4155077822506428,1.4155077822506428,5101400,full_n16384_k2048_m4,0.024425970772160098,,0.048706708594434926,completed,2048,0.023013691903686063,1.4380913193409974,1.6934837595835333
8,1,0.004748133242048955,1.0,1.0,1200,2,12,sensor,1.174282186986379,0.0073675741738125355,tail_anchored,16384,confirmation,,ambiguous,2.2304054610431194,2.2304054610431194,5101400,tail_anchored_n16384_k2048_m8,0.010616169818090368,,0.05212675060180919,completed,2048,0.010226215794706731,1.4248479998761738,1.6826598469144534
4,2,0.006118357272356057,1.0,1.0,1200,2,12,sensor,1.1666480125765064,0.0060099724550250295,tail_fixed,16384,confirmation,,ambiguous,1.9319625236093998,1.9319625236093998,5101400,tail_fixed,0.010151267707053872,,0.05174909059981668,completed,2048,0.010696933926274601,1.4156452927960552,1.6901470845243387
4,3,0.0031217827260089084,1.0,1.0,1200,2,12,sensor,1.19386196483892,0.013242148628612657,unbiased,16384,confirmation,,ambiguous,1.4778738841414452,1.4778738841414452,5101400,unbiased,0.013479476655930148,,0.05276054476045615,completed,2048,0.013059627053779133,1.4197720909700418,1.6685093470770398
,4,0.0010726421746286062,1.0,1.0,1200,2,12,sensor,-14.989790484273431,0.0019620664040834535,annealed_smc,16384,confirmation,0.15,ambiguous,0.10123804956674576,0.10123804956674576,5101400,smc_k64_scale0.15,0.00427602757394391,64,0.05359336545234775,completed,,0.004105581502291879,1.4355044460373128,1.6892629338824086
,5,0.0009666504372444533,1.0,1.0,1200,2,12,sensor,,0.005067562550856272,exact,16384,confirmation,,ambiguous,0.004939001053571701,0.004939001053571701,5101400,exact,0.0061431163496700825,,0.05423221580070879,completed,,0.006023135721007308,1.443429503329477,1.7026903980021277
4,6,0.0069567255378583225,1.0,1.0,1201,2,12,sensor,0.3490962452630688,0.010984285185730356,full,16384,confirmation,,ambiguous,1.3572774678468704,1.3572774678468704,5101401,full_n16384_k2048_m4,0.015819481309946246,,0.06563935426861219,completed,2048,0.01566644247111466,1.8983862993718172,2.2199422902299553
8,7,0.0024858732005461743,1.0,1.0,1201,2,12,sensor,0.368257846624104,0.01592948625266818,tail_anchored,16384,confirmation,,ambiguous,2.2245081067085266,2.2245081067085266,5101401,tail_anchored_n16384_k2048_m8,0.019544672580486,,0.06308624237303133,completed,2048,0.017617109462894413,1.8981300090055229,2.210490571966974
4,8,0.007663448855050331,1.0,1.0,1201,2,12,sensor,0.37440110515476643,0.011309076963862004,tail_fixed,16384,confirmation,,ambiguous,1.9261615984141827,1.9261615984141827,5101401,tail_fixed,0.015908196198127465,,0.06509867097199377,completed,2048,0.01512122204700075,1.904631591737347,2.2082434180207615
4,9,0.00522926099949123,1.0,1.0,1201,2,12,sensor,0.37352329298434217,0.008508415872910879,unbiased,16384,confirmation,,ambiguous,1.5502203814685345,1.5502203814685345,5101401,unbiased,0.013740374611596851,,0.06682289752187236,completed,2048,0.011766472480572315,1.9008275780780373,2.2047855261694242
