JobID|State|ExitCode|ElapsedRaw|AllocTRES
23791464_0|FAILED|120:0|123|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791464_1|FAILED|120:0|125|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791464_2|FAILED|120:0|128|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791464_3|FAILED|120:0|99|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791464_4|FAILED|120:0|101|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_0|FAILED|120:0|79|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_1|FAILED|120:0|79|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_2|FAILED|1:0|88|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_3|FAILED|1:0|89|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_4|FAILED|1:0|95|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_5|FAILED|1:0|90|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_6|FAILED|120:0|139|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_7|FAILED|120:0|140|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_8|FAILED|120:0|118|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_9|FAILED|120:0|119|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_10|FAILED|120:0|118|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_11|FAILED|120:0|120|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_12|FAILED|120:0|89|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_13|FAILED|120:0|90|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_14|FAILED|120:0|89|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_15|FAILED|120:0|88|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_16|FAILED|120:0|88|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_17|FAILED|120:0|102|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_18|FAILED|120:0|100|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_19|FAILED|120:0|100|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_20|FAILED|120:0|101|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_21|FAILED|120:0|118|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_22|FAILED|120:0|123|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_23|FAILED|120:0|117|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_24|FAILED|120:0|119|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_25|FAILED|120:0|81|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_26|FAILED|120:0|82|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_27|FAILED|120:0|83|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_28|FAILED|120:0|101|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_29|FAILED|120:0|105|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_30|FAILED|120:0|101|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_31|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_32|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_33|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_34|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_35|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_36|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_37|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_38|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791465_39|FAILED|0:53|1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23791466_[0-39%40]|CANCELLED|0:0|0|
