JobID|State|ExitCode|ElapsedRaw|ReqTRES|AllocTRES|NodeList
23791944_0|COMPLETED|0:0|40|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r01
23791944_1|COMPLETED|0:0|41|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r04
23791944_2|COMPLETED|0:0|41|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e12r01
23791944_3|COMPLETED|0:0|47|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e01r02
23791944_4|COMPLETED|0:0|49|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e01r03
23791944_5|COMPLETED|0:0|83|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e01r05
23791944_6|COMPLETED|0:0|96|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e02r01
23791944_7|COMPLETED|0:0|96|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e02r01
23791944_8|COMPLETED|0:0|129|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r04
23791944_9|COMPLETED|0:0|124|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r04
23791944_10|COMPLETED|0:0|173|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r05
23791944_11|COMPLETED|0:0|153|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r05
23791944_12|COMPLETED|0:0|157|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r05
23791944_13|COMPLETED|0:0|157|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r05
