JobID|State|ExitCode|ElapsedRaw|ReqTRES|AllocTRES|NodeList
23791943_0|COMPLETED|0:0|241|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e01r05
23791943_1|COMPLETED|0:0|372|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e02r01
23791943_2|COMPLETED|0:0|204|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e02r01
23791943_3|COMPLETED|0:0|201|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e02r01
23791943_4|COMPLETED|0:0|192|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r04
23791943_5|COMPLETED|0:0|219|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r04
23791943_6|COMPLETED|0:0|197|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23791943_7|COMPLETED|0:0|205|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r04
23791943_8|COMPLETED|0:0|210|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r04
23791943_9|COMPLETED|0:0|228|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r05
23791943_10|COMPLETED|0:0|206|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r05
23791943_11|COMPLETED|0:0|201|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r05
23791943_12|COMPLETED|0:0|208|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e04r05
23791943_13|COMPLETED|0:0|258|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e10r05
23791943_14|COMPLETED|0:0|236|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e11r01
23791943_15|COMPLETED|0:0|213|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e11r02
23791943_16|COMPLETED|0:0|222|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e11r02
23791943_17|COMPLETED|0:0|240|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r02
23791943_18|COMPLETED|0:0|213|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r02
23791943_19|COMPLETED|0:0|212|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r03
23791943_20|COMPLETED|0:0|246|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r03
23791943_21|COMPLETED|0:0|404|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r03
23791943_22|COMPLETED|0:0|218|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r03
23791943_23|COMPLETED|0:0|227|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r04
23791943_24|COMPLETED|0:0|193|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r04
23791943_25|COMPLETED|0:0|242|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r05
23791943_26|COMPLETED|0:0|229|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r03
23791943_27|COMPLETED|0:0|229|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r03
23791943_28|COMPLETED|0:0|207|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r04
23791943_29|COMPLETED|0:0|232|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r04
23791943_30|COMPLETED|0:0|201|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r04
23791943_31|COMPLETED|0:0|200|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r04
23791943_32|COMPLETED|0:0|209|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r05
23791943_33|COMPLETED|0:0|236|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r05
23791943_34|COMPLETED|0:0|214|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r05
23791943_35|COMPLETED|0:0|225|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e02r04
23791943_36|COMPLETED|0:0|217|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e06r05
23791943_37|COMPLETED|0:0|244|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r04
23791943_38|COMPLETED|0:0|212|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e03r05
23791943_39|COMPLETED|0:0|209|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1|e05r04
