batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,relative_path,resampling_count,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,0,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9112126076998854,16,standard normal at finite u_max,0.09016363064978472,0.04823403985487951,full,0.1563965140066135,8192,10948608,0.002044607649797081,task_000/cell_0000,9,16777216,0.17128588259220123,0,completed,128,20.0,0.09139179905758377,0.04847848538595197
4,1,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.11543390636551812,0.03781368614855107,unweighted,0.9999999999999987,8192,10948608,0.003201899918386153,task_001/cell_0001,0,16777216,0.15997746586799622,0,completed,128,20.0,0.405088095366137,0.05267504282366621
4,2,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7478017456087899,16,standard normal at finite u_max,0.10509391829345371,0.05742217711908082,naive,0.12085320155227375,8192,5179904,0.00197656142979985,task_002/cell_0002,17,4194304,0.21809231489896774,0,completed,128,20.0,0.06183822147419149,0.05745042821864343
4,3,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.880368774450912,16,standard normal at finite u_max,0.0911153764970522,0.05071602839843903,unbiased,0.0739566050181585,8192,5179904,0.002861146516734414,task_003/cell_0003,16,4194304,0.2133205309510231,0,completed,128,20.0,0.05717312097235461,0.05072331291117997
4,4,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9996208487042955,16,standard normal at finite u_max,0.05776431001256571,0.02702678370238809,cumulant,0.2741855268625046,8192,5310976,0.0025271786134449803,task_004/cell_0004,10,8388608,0.33537715673446655,0,completed,128,20.0,0.13478816524322113,0.027841226091676944
4,5,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.6722664782448456,16,standard normal at finite u_max,0.044887319916695256,0.021353744057965307,cv,0.3386323066434587,8192,5179904,0.003201899918385487,task_005/cell_0005,9,4194304,0.26882515847682953,0,completed,128,20.0,0.12867033541704065,0.023243802432397476
4,6,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.6189237844493602,16,standard normal at finite u_max,0.08576271182031325,0.046896235747146964,cv_cumulant,0.16335098055020295,8192,5310976,0.0004041111589156987,task_006/cell_0006,9,8388608,0.4857817441225052,0,completed,128,20.0,0.014551941783848887,0.04728708581597561
4,7,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9123425985462141,16,standard normal at finite u_max,0.0881836161777671,0.04871126622011568,full,0.2597094517391846,8192,10948608,0.002840702686735308,task_007/cell_0007,9,16777216,0.16800865530967712,1,completed,128,20.0,0.09218974564794857,0.04877243541443693
4,8,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.11708726442691789,0.04132120127004513,unweighted,0.9999999999999987,8192,10948608,0.003079829605886153,task_008/cell_0008,0,16777216,0.1552114188671112,1,completed,128,20.0,0.390794373132633,0.05313570009555914
4,9,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5730330853566767,16,standard normal at finite u_max,0.21480351181192248,0.12712253572856724,naive,0.14356305836140934,8192,5179904,0.00292617725488864,task_009/cell_0009,17,4194304,0.20224673300981522,1,completed,128,20.0,0.09810325344107418,0.12712270646668744
