JobID|State|ExitCode|Elapsed|AllocTRES
23785828_0|COMPLETED|0:0|00:01:20|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_1|COMPLETED|0:0|00:01:40|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_2|COMPLETED|0:0|00:01:35|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_3|COMPLETED|0:0|00:02:09|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_4|COMPLETED|0:0|00:01:37|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_5|COMPLETED|0:0|00:02:13|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_6|COMPLETED|0:0|00:01:36|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_7|COMPLETED|0:0|00:01:56|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_8|COMPLETED|0:0|00:01:58|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_9|COMPLETED|0:0|00:02:19|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_10|COMPLETED|0:0|00:02:32|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
23785828_11|COMPLETED|0:0|00:02:25|billing=4,cpu=4,gres/gpu=1,mem=15328M,node=1
