all_strongest_batch_count,bad_event_lower_probability,batch,cell_id,commit,device,diffusion,dimension,ess_fraction,ess_threshold,family,final_ess_fraction,finite_population_normalizer,full_exact_log_normalizer,full_exact_variance,groups,initialization,kind,ks_mean,largest_normalized_weight,log_normalizer,mean_absolute_error,method,minimum_ess_fraction,nonintegrable_batch_count,particles,peak_gpu_bytes,positive_mass_error,potential_mse,relative_path,resampling_count,score_evaluations,score_mse,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean,weighted_mean,weighted_variance
,,4,0,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.747922063898738,,,,16,standard normal at finite u_max,tail,0.10436773141856648,,,0.08812862595566953,tail,0.09440520846447269,,8192,5179904,0.023698744232361568,,task_000/cell_0000,4,4194304,,0.26637545973062515,0,completed,128,20.0,0.13192068732385942,0.11934722348358322,,
,,4,1,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.5125364420236125,,,,16,standard normal at finite u_max,tail,0.05983279293097499,,,0.07672843579701041,tail_cumulant,0.33384062814127,,8192,5310976,0.0275250349789552,,task_001/cell_0001,2,8388608,,0.4632297419011593,0,completed,128,20.0,0.07247401553729138,0.08505965077438853,,
,,4,2,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.6615633499882694,,,,16,standard normal at finite u_max,tail,0.1806109636409502,,,0.40386867309934094,tail,0.29211423515563256,,8192,5179904,0.1525176211720798,,task_002/cell_0002,5,4194304,,0.27022331207990646,1,completed,128,20.0,0.10774291875176845,0.4038848524725285,,
,,4,3,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.6536791123000026,,,,16,standard normal at finite u_max,tail,0.02737173715936092,,,0.03799915896460612,tail_cumulant,0.48153467884272666,,8192,5310976,0.018308681476366995,,task_003/cell_0003,1,8388608,,0.468514047563076,1,completed,128,20.0,0.036162273298790515,0.04774014650659508,,
,,4,4,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9993921017435676,,,,16,standard normal at finite u_max,tail,0.11009881705323232,,,0.20905904397578834,tail,0.3301396621232797,,8192,5179904,0.08495703009904598,,task_004/cell_0004,4,4194304,,0.2754043899476528,2,completed,128,20.0,0.1265053373806857,0.22312794729997268,,
,,4,5,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9352504236011391,,,,16,standard normal at finite u_max,tail,0.02977581289428477,,,0.01159072540453368,tail_cumulant,0.35136999688944115,,8192,5310976,0.004088468042838911,,task_005/cell_0005,2,8388608,,0.4821982979774475,2,completed,128,20.0,0.04711271692986774,0.03290700794858239,,
,,4,6,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9345794103623387,,,,16,standard normal at finite u_max,tail,0.10048277789958615,,,0.1880483614572565,tail,0.39265252159000025,,8192,5179904,0.07625963284636494,,task_006/cell_0006,3,4194304,,0.2631121352314949,3,completed,128,20.0,0.11967247903132039,0.19884069651719882,,
,,4,7,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.8297485693128596,,,,16,standard normal at finite u_max,tail,0.01579099876499765,,,0.00441177481306973,tail_cumulant,0.45843444476502043,,8192,5310976,0.0015265753469888566,,task_007/cell_0007,2,8388608,,0.4679819419980049,3,completed,128,20.0,0.01892602856196679,0.014554927270651156,,
,,4,8,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9272537383247917,,,,16,standard normal at finite u_max,tail,0.0754837521756142,,,0.14833573890188034,tail,0.4249405559544906,,8192,5179904,0.060079604678047294,,task_008/cell_0008,3,4194304,,0.28504666686058044,4,completed,128,20.0,0.08994398568514805,0.15098439794171276,,
,,4,9,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9648057095592486,,,,16,standard normal at finite u_max,tail,0.04717958980600234,,,0.028318467858102728,tail_cumulant,0.3168702978013215,,8192,5310976,0.008797155083118069,,task_009/cell_0009,3,8388608,,0.4644668698310852,4,completed,128,20.0,0.08317726826673444,0.056343267500807294,,
