batch,cell_id,cell_wall_seconds,checkpoint_sha256,commit,condition,control_delta,critical_batch,dataset_seed,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,finite_normalizer,groups,initialization,ks_mean,learning_w1,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,suite,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,0,14.796246752142906,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,100,cuda,1.0,8,0.5,learned_mixture,0.9799166110945443,True,64,standard normal at finite u_max,0.10403871495853703,0.006815676602960452,0.02442726835809779,full,0.32908922646634375,32768,1383796224,0.0020782631450773654,98,with_replacement,4294967296,14.035669352859259,9000100,completed,2048,heldout,0,0.10605355350743084,0.02488877855053705,0.0004300809142049873,0.1954147274097506,0.026461953168782186,20.0,0.19841659521686777,0.02584772683186544
4,1,3.709017124027014,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,100,cuda,1.0,8,0.5,learned_mixture,0.8645052438973875,False,64,standard normal at finite u_max,0.23526265399716162,0.006815676602960452,0.0513673403284141,unbiased,3.0987757602409884e-05,32768,202038784,0.008543598204228321,642,without_replacement,268435456,2.960830606520176,9000100,completed,2048,heldout,0,0.23566048433521797,0.05142965044569902,0.010029320069611304,0.40553828753988097,0.05480739163894933,20.0,0.407648252940941,0.05413714289890925
4,2,13.55153838172555,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,100,cuda,1.0,8,0.5,learned_mixture,0.7643732573490326,True,64,standard normal at finite u_max,0.24112896402718478,0.006815676602960452,0.0627817968603681,tail,4.352793025860089e-05,32768,202038784,0.007105314720334418,409,without_replacement,268435456,3.384868960827589,9000100,completed,2048,heldout,0,0.24249874950173744,0.06289800162616524,0.008591036585717401,0.3095888084962323,0.06574747047919835,20.0,0.31236675391224755,0.06648924293489963
4,3,14.835442766547203,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,101,cuda,1.0,8,0.5,learned_mixture,0.8834589692370192,True,64,standard normal at finite u_max,0.061864442360455005,0.00823034533095888,0.013326302045700955,full,0.36307356835719484,32768,1383796224,0.0008238622238993041,97,with_replacement,4294967296,14.07684238255024,9000101,completed,2048,heldout,0,0.06189796162428632,0.0134608397106941,0.0007408249792478026,0.15692455827195062,0.016061070426590617,20.0,0.15837197626535723,0.015699772933221983
4,4,13.129546880722046,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,101,cuda,1.0,8,0.5,learned_mixture,0.6420523479784519,False,64,standard normal at finite u_max,0.21287453338093065,0.00823034533095888,0.04600150437813218,unbiased,3.0677360506816265e-05,32768,202038784,0.0012890071399559286,642,without_replacement,268435456,2.9575190879404545,9000101,completed,2048,heldout,0,0.21540920899387556,0.04712128718143517,0.001205969895304427,0.4362776165053237,0.050402852123026864,20.0,0.4374122127780399,0.05136232511336171
4,5,4.1469120644032955,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,101,cuda,1.0,8,0.5,learned_mixture,0.6306147259452872,True,64,standard normal at finite u_max,0.41757106415161327,0.00823034533095888,0.11304491671506083,tail,3.12307624969118e-05,32768,202038784,0.0015484006623142366,443,without_replacement,268435456,3.3928135968744755,9000101,completed,2048,heldout,0,0.39991446152081045,0.10837759748939783,0.001465363417662735,0.4445712752127188,0.11061570407606268,20.0,0.44534549559265957,0.11459994355825975
4,6,24.26069424301386,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,102,cuda,1.0,8,0.5,learned_mixture,0.9185280541249896,True,64,standard normal at finite u_max,0.0627873426094439,0.007354978389386077,0.014294459201115231,full,0.37524567747909215,32768,1383796224,0.0009997817209333182,98,with_replacement,4294967296,14.0598818436265,9000102,completed,2048,heldout,0,0.07032950393833473,0.0161132001023667,0.001184155736232026,0.1453635648414025,0.017890540216218616,20.0,0.14560837181484987,0.01566579073554358
4,7,3.720855750143528,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,102,cuda,1.0,8,0.5,learned_mixture,0.5914386005639749,False,64,standard normal at finite u_max,0.15059591244792003,0.007354978389386077,0.03080215678864847,unbiased,3.277239328613833e-05,32768,202038784,0.0012153745958047857,641,without_replacement,268435456,2.9680849760770798,9000102,completed,2048,heldout,0,0.14862846805693763,0.030487461297847865,0.0013997486111034935,0.3361556289921739,0.033683143379052524,20.0,0.33683784047218746,0.034735700127294426
4,8,4.152016445994377,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,102,cuda,1.0,8,0.5,learned_mixture,0.6001718852862595,True,64,standard normal at finite u_max,0.41972407486202484,0.007354978389386077,0.1087782521624241,tail,5.842475084610625e-05,32768,202038784,0.0010488016943824702,488,without_replacement,268435456,3.4024387411773205,9000102,completed,2048,heldout,0,0.42553495589298007,0.11095645156110072,0.001233175709681178,0.408324052018443,0.11307010531867245,20.0,0.4087351458381299,0.11045532818256945
4,9,14.821778111159801,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,103,cuda,1.0,8,0.5,learned_mixture,0.5113039308108404,True,64,standard normal at finite u_max,0.0778713154672007,0.00842585355481298,0.01856936368628894,full,0.38274964854925314,32768,1383796224,0.0013199037869032057,91,with_replacement,4294967296,14.065217941999435,9000103,completed,2048,heldout,0,0.08711956762923981,0.020967289705079682,0.0015586333525686438,0.14558095026005724,0.02263635041847329,20.0,0.1497872756593802,0.019731619018633025
4,10,13.124900463968515,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,103,cuda,1.0,8,0.5,learned_mixture,0.8409342350131283,False,64,standard normal at finite u_max,0.17076805566238684,0.00842585355481298,0.03588359646537377,unbiased,3.2419573574661185e-05,32768,202038784,0.0012034016617179259,652,without_replacement,268435456,2.9617917761206627,9000103,completed,2048,heldout,0,0.17012236274633966,0.0356852010037471,0.001442131227383364,0.373090961308358,0.03896809017463436,20.0,0.37532115323368165,0.03938647996380971
4,11,4.183993477374315,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,103,cuda,1.0,8,0.5,learned_mixture,0.7986806516702585,True,64,standard normal at finite u_max,0.39573480871641775,0.00842585355481298,0.10500270348230792,tail,5.015564754729633e-05,32768,202038784,0.0021157238636765746,462,without_replacement,268435456,3.405618339776993,9000103,completed,2048,heldout,0,0.40071315983111727,0.10703078133135574,0.0023544534293420127,0.42418091137161545,0.11047981689090924,20.0,0.4264912965644879,0.10917582984085963
4,12,24.20574851706624,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,104,cuda,1.0,8,0.5,learned_mixture,0.9971254386182322,True,64,standard normal at finite u_max,0.06702200847161474,0.007892751039686806,0.01471433623099215,full,0.3439051599020023,32768,1383796224,0.010933122608911314,97,with_replacement,4294967296,14.040502540767193,9000104,completed,2048,heldout,0,0.07164540023546748,0.016643310010130953,0.009170042835343659,0.15076540687592033,0.01803002888534672,20.0,0.15544553392974914,0.016304713283292204
